Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year
FDT04,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDO49,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCB43,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
NCL53,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDM01,Regular,Breakfast,OUT013,High,Tier 3,Supermarket Type1,1987
FDO12,Low Fat,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO13,Low Fat,Breakfast,OUT019,Small,Tier 1,Grocery Store,1985
FDI04,reg,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCK05,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDP28,Regular,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDJ44,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDS25,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDC02,Low Fat,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT23,Regular,Breads,OUT013,High,Tier 3,Supermarket Type1,1987
NCD31,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDV19,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
NCQ30,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985
NCD18,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDL10,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX20,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDM32,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDR09,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDL34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCK42,LF,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDU23,Low Fat,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
DRI01,Low Fat,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDG16,Low Fat,Frozen Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY56,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDO24,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCV29,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ48,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDU15,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDS47,Low Fat,Breads,OUT035,Small,Tier 2,Supermarket Type1,2004
FDO50,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW48,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV20,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
FDW47,Low Fat,Breads,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDA07,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDZ16,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDN09,low fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDB50,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCL06,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
DRG03,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRM59,Low Fat,Hard Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDU25,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCU42,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDH21,LF,Seafood,OUT010,-,Tier 3,Grocery Store,1998
DRO47,Low Fat,Hard Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
FDC44,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCL29,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDL48,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDJ21,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDT40,LF,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCD43,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
FDM28,Low Fat,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDR35,Low Fat,Breads,OUT046,Small,Tier 1,Supermarket Type1,1997
NCP17,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDT23,Regular,Breads,OUT045,-,Tier 2,Supermarket Type1,2002
FDX15,Low Fat,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
NCU42,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV23,Low Fat,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY34,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDE16,Low Fat,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
FDV60,Regular,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDQ44,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDZ09,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDW36,Low Fat,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCZ30,LF,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL09,Regular,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDE05,Regular,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRO35,LF,Hard Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDN60,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
NCZ29,Low Fat,Health and Hygiene,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX08,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDZ16,Regular,Frozen Foods,OUT010,-,Tier 3,Grocery Store,1998
DRL37,Low Fat,Soft Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDL21,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDW10,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDB53,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
DRM49,Regular,Soft Drinks,OUT035,Small,Tier 2,Supermarket Type1,2004
NCD06,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDN10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDS13,Low Fat,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDH38,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY21,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDT60,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
DRZ24,Low Fat,Soft Drinks,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW56,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDG57,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDY14,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDS19,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDX01,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV32,Low Fat,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
DRI39,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
NCU05,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCA29,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDO10,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
DRL47,LF,Hard Drinks,OUT045,-,Tier 2,Supermarket Type1,2002
FDA50,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985
FDU23,LF,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDR27,Regular,Meat,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRH36,Low Fat,Soft Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ51,Regular,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
FDQ40,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDB17,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDQ16,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDG09,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
DRI59,Low Fat,Hard Drinks,OUT017,-,Tier 2,Supermarket Type1,2007
FDH47,Regular,Starchy Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDA21,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCO05,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
NCL31,Low Fat,Others,OUT019,Small,Tier 1,Grocery Store,1985
NCH42,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDG57,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
NCQ50,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDK24,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
DRG39,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDX46,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDY01,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDJ40,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS01,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDJ09,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDT49,Low Fat,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDW50,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDV39,Low Fat,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDY36,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
NCE18,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDB05,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDK14,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDP10,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDC45,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS48,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDX04,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDQ20,low fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU13,Low Fat,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
NCR53,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDN49,Regular,Breakfast,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDR31,Regular,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
DRI03,Low Fat,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL58,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCJ05,Low Fat,Health and Hygiene,OUT013,High,Tier 3,Supermarket Type1,1987
FDS10,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDK34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDW48,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDE08,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCH06,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV08,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDQ15,Regular,Meat,OUT046,Small,Tier 1,Supermarket Type1,1997
FDL56,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRC12,Low Fat,Soft Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
FDX49,Regular,Canned,OUT013,High,Tier 3,Supermarket Type1,1987
FDJ09,low fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN23,Regular,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRD01,Regular,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDS43,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDY48,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store,1985
FDU12,Regular,Baking Goods,OUT010,-,Tier 3,Grocery Store,1998
FDX33,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDH45,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDJ10,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDX32,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRG51,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCB31,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDW47,Low Fat,Breads,OUT010,-,Tier 3,Grocery Store,1998
FDT20,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDI34,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDH56,Regular,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
DRJ47,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1,1987
FDP04,Low Fat,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCZ06,Low Fat,Household,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDY37,Regular,Canned,OUT045,-,Tier 2,Supermarket Type1,2002
FDO46,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDI10,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCT42,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDE29,LF,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDQ11,Regular,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDS20,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1,1987
FDR26,Low Fat,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCH43,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985
FDO25,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB40,Regular,Dairy,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB14,Regular,Canned,OUT019,Small,Tier 1,Grocery Store,1985
FDW23,Low Fat,Baking Goods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDZ23,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX35,Regular,Breads,OUT017,-,Tier 2,Supermarket Type1,2007
FDX24,Low Fat,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
DRG15,Low Fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDY60,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDK02,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDK24,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCA05,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN33,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDA09,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDK50,Low Fat,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
NCE55,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDG12,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDC37,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
DRG15,Low Fat,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ58,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ51,Regular,Meat,OUT010,-,Tier 3,Grocery Store,1998
FDR46,Low Fat,Snack Foods,OUT010,-,Tier 3,Grocery Store,1998
FDC50,Low Fat,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDJ09,Low Fat,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1,1997
NCC18,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1,2004
FDL04,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDH48,Low Fat,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDD38,Regular,Canned,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDT47,Regular,Breads,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDE41,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDH19,Low Fat,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDW26,Regular,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDW35,Low Fat,Breads,OUT017,-,Tier 2,Supermarket Type1,2007
FDQ55,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDV22,Regular,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCN29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
FDQ26,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV24,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDG50,Low Fat,Canned,OUT017,-,Tier 2,Supermarket Type1,2007
NCF42,Low Fat,Household,OUT019,Small,Tier 1,Grocery Store,1985
FDT46,Low Fat,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
DRE49,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDV56,Regular,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDD32,Regular,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCN19,Low Fat,Others,OUT035,Small,Tier 2,Supermarket Type1,2004
FDQ48,reg,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDW34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCS38,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDL58,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDY59,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
FDZ03,Regular,Dairy,OUT046,Small,Tier 1,Supermarket Type1,1997
FDP60,Low Fat,Baking Goods,OUT045,-,Tier 2,Supermarket Type1,2002
NCI30,Low Fat,Household,OUT046,Small,Tier 1,Supermarket Type1,1997
FDO03,Regular,Meat,OUT019,Small,Tier 1,Grocery Store,1985
FDZ20,Low Fat,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDQ31,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDY03,Regular,Meat,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDW45,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
NCO41,Low Fat,Health and Hygiene,OUT010,-,Tier 3,Grocery Store,1998
FDK16,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDZ16,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
NCD18,Low Fat,Household,OUT017,-,Tier 2,Supermarket Type1,2007
FDF52,Low Fat,Frozen Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDF09,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDW43,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDU19,Regular,Fruits and Vegetables,OUT017,-,Tier 2,Supermarket Type1,2007
FDA50,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDS48,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
NCH07,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
NCK54,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1,1987
FDD53,Low Fat,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDV58,Low Fat,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDI08,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDD08,Low Fat,Fruits and Vegetables,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX34,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDX55,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
NCS05,Low Fat,Health and Hygiene,OUT045,-,Tier 2,Supermarket Type1,2002
FDL04,Low Fat,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDJ53,Low Fat,Frozen Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDB47,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCS29,Low Fat,Health and Hygiene,OUT019,Small,Tier 1,Grocery Store,1985
FDB33,Low Fat,Fruits and Vegetables,OUT045,-,Tier 2,Supermarket Type1,2002
FDL52,Regular,Frozen Foods,OUT019,Small,Tier 1,Grocery Store,1985
FDB03,Regular,Dairy,OUT035,Small,Tier 2,Supermarket Type1,2004
FDW20,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDT10,Regular,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDK04,Low Fat,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985
NCL07,Low Fat,Others,OUT045,-,Tier 2,Supermarket Type1,2002
FDZ31,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE45,Low Fat,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
NCK54,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRE15,Low Fat,Dairy,OUT019,Small,Tier 1,Grocery Store,1985
NCQ38,Low Fat,Others,OUT035,Small,Tier 2,Supermarket Type1,2004
FDB08,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
DRF49,Low Fat,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2,2009
DRC27,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDB37,Regular,Baking Goods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDS35,low fat,Breads,OUT046,Small,Tier 1,Supermarket Type1,1997
FDE47,Low Fat,Starchy Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCT53,low fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDL14,Regular,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDP21,Regular,Snack Foods,OUT019,Small,Tier 1,Grocery Store,1985
NCV54,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
NCO41,Low Fat,Health and Hygiene,OUT035,Small,Tier 2,Supermarket Type1,2004
FDQ59,Regular,Breads,OUT035,Small,Tier 2,Supermarket Type1,2004
FDQ01,Regular,Canned,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDQ48,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDP09,Low Fat,Snack Foods,OUT049,Medium,Tier 1,Supermarket Type1,1999
FDK55,Low Fat,Meat,OUT013,High,Tier 3,Supermarket Type1,1987
NCJ43,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDI07,Regular,Meat,OUT035,Small,Tier 2,Supermarket Type1,2004
NCW41,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDG33,Regular,Seafood,OUT049,Medium,Tier 1,Supermarket Type1,1999
NCO05,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDH53,Regular,Frozen Foods,OUT035,Small,Tier 2,Supermarket Type1,2004
FDR49,Low Fat,Canned,OUT046,Small,Tier 1,Supermarket Type1,1997
FDF33,Low Fat,Seafood,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDQ51,Regular,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ38,Low Fat,Dairy,OUT013,High,Tier 3,Supermarket Type1,1987
FDV52,Regular,Frozen Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDM50,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDV60,Regular,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
FDG60,Low Fat,Baking Goods,OUT013,High,Tier 3,Supermarket Type1,1987
FDN13,LF,Breakfast,OUT013,High,Tier 3,Supermarket Type1,1987
DRN59,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDU02,low fat,Dairy,OUT017,-,Tier 2,Supermarket Type1,2007
FDZ58,Low Fat,Snack Foods,OUT018,Medium,Tier 3,Supermarket Type2,2009
NCQ38,Low Fat,Others,OUT013,High,Tier 3,Supermarket Type1,1987
FDF39,Regular,Dairy,OUT045,-,Tier 2,Supermarket Type1,2002
FDT03,Low Fat,Meat,OUT017,-,Tier 2,Supermarket Type1,2007
FDN09,Low Fat,Snack Foods,OUT013,High,Tier 3,Supermarket Type1,1987
FDJ02,Regular,Canned,OUT035,Small,Tier 2,Supermarket Type1,2004
FDN44,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDQ34,Low Fat,Snack Foods,OUT045,-,Tier 2,Supermarket Type1,2002
FDX31,Regular,Fruits and Vegetables,OUT046,Small,Tier 1,Supermarket Type1,1997
NCH55,Low Fat,Household,OUT010,-,Tier 3,Grocery Store,1998
DRM47,Low Fat,Hard Drinks,OUT046,Small,Tier 1,Supermarket Type1,1997
DRL01,Regular,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985
FDO12,Low Fat,Baking Goods,OUT017,-,Tier 2,Supermarket Type1,2007
NCK30,Low Fat,Household,OUT045,-,Tier 2,Supermarket Type1,2002
FDP16,Low Fat,Frozen Foods,OUT017,-,Tier 2,Supermarket Type1,2007
NCG06,Low Fat,Household,OUT018,Medium,Tier 3,Supermarket Type2,2009
FDX36,Regular,Baking Goods,OUT046,Small,Tier 1,Supermarket Type1,1997
FDT09,Regular,Snack Foods,OUT017,-,Tier 2,Supermarket Type1,2007
FDF08,Regular,Fruits and Vegetables,OUT035,Small,Tier 2,Supermarket Type1,2004
FDA43,Low Fat,Fruits and Vegetables,OUT010,-,Tier 3,Grocery Store,1998
